Parameter,Type,Min,Max,Default,Description,Example
Blocking_Config,json object,NA,NA,NA,"Object in the **Insecticides** array, configures the rate of blocking for indoor mosquito feeds on individuals with an ITN. Specify how this effect decays over time using one of the [Waning effect classes](parameter-campaign-waningeffects.md).",[link](../json/campaign-multiinsecticideusagedependentbednet-blocking-config.json)
Cost_To_Consumer,float,0,999999,3.75,The unit cost per bednet (unamortized),[link](../json/campaign-multiinsecticideusagedependentbednet-cost-to-consumer.json)
Discard_Event,enum,NA,NA,"""""","The event that is broadcast when an individual discards their bednet, either by replacing an existing net or due to the expiration timer. See [Event list](parameter-campaign-event-list.md) for possible values, or you can use a custom event (defined in the **Custom_Individual_Events** list in the config file).",[link](../json/campaign-multiinsecticideusagedependentbednet-discard-event.json)
Disqualifying_Properties,array of strings,NA,NA,[],"A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time.",[link](../json/campaign-multiinsecticideusagedependentbednet-disqualifying-properties.json)
Dont_Allow_Duplicates,boolean,0,1,0,"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes.",[link](../json/campaign-multiinsecticideusagedependentbednet-dont-allow-duplicates.json)
Expiration_Period_Constant,float,0,3.40282E+38,-1,"The expiration period to use for all bednets, in days, when **Expiration_Period_Distribution** is set to CONSTANT_DISTRIBUTION.",[link](../json/campaign-multiinsecticideusagedependentbednet-expiration-period-constant.json)
Expiration_Period_Distribution,enum,NA,NA,NOT_INITIALIZED,"The distribution type to use for assigning the expiration period to a usage-dependent bednet. Each assigned value is a random draw from the distribution.
Possible values are:
NOT_INITIALIZED
    No distribution set.
CONSTANT_DISTRIBUTION
    Use the same value for each individual. Set **Expiration_Period_Constant**.
UNIFORM_DISTRIBUTION
    Use a uniform distribution with a given minimum and maximum. Set **Expiration_Period_Max** and **Expiration_Period_Min**.
GAUSSIAN_DISTRIBUTION
    The distribution is Gaussian (or normal). Values are resampled to ensure >= 0. Set **Expiration_Period_Gaussian_Mean** and **Expiration_Period_Gaussian_Std_Dev**.
EXPONENTIAL_DISTRIBUTION
    The distribution is exponential with a given mean. Set **Expiration_Period_Exponential**.
WEIBULL_DISTRIBUTION
    Use a Weibull distribution with a given shape and scale. Set **Expiration_Period_Kappa** and **Expiration_Period_Lambda**.
LOG_NORMAL_DISTRIBUTION
    Use a log-normal distribution with a given mean and width. Set **Expiration_Period_Log_Normal_Mu** and **Expiration_Period_Log_Normal_Sigma**.
POISSON_DISTRIBUTION
    Use a Poisson distribution with a given mean. Set **Expiration_Period_Poisson_Mean**.
DUAL_CONSTANT_DISTRIBUTION
    Use a distribution where some individuals are set to a value of zero and the rest to a given value. Set **Expiration_Period_Proportion_0** and **Peak_2_Value**. This distribution does not use the parameters set for CONSTANT_DISTRIBUTION.
DUAL_EXPONENTIAL_DISTRIBUTION
    Use two exponential distributions with given means. Set **Expiration_Period_Mean_1**, **Expiration_Period_Mean_2**, and **Expiration_Period_Proportion_1**. This distribution does not use the parameters set for EXPONENTIAL_DISTRIBUTION.",[link](../json/campaign-multiinsecticideusagedependentbednet-expiration-period-distribution.json)
Expiration_Period_Exponential,float,0,3.40282E+38,-1,"The mean of the expiration period, in days, when **Expiration_Period_Distribution** is set to EXPONENTIAL_DISTRIBUTION.",[link](../json/campaign-multiinsecticideusagedependentbednet-expiration-period-exponential.json)
Expiration_Period_Gaussian_Mean,float,0,3.40282E+38,-1,"The mean of the expiration period, in days, when **Expiration_Period_Distribution** is set to GAUSSIAN_DISTRIBUTION.",[link](../json/campaign-multiinsecticideusagedependentbednet-expiration-period-gaussian-mean.json)
Expiration_Period_Gaussian_Std_Dev,float,1.17549E-38,3.40282E+38,-1,"The standard deviation of the expiration period, in days, when **Expiration_Period_Distribution** is set to GAUSSIAN_DISTRIBUTION.",[link](../json/campaign-multiinsecticideusagedependentbednet-expiration-period-gaussian-std-dev.json)
