Parameter,Type,Min,Max,Default,Description
Custom_Coordinator_Events,array of strings,NA,NA,[],"The list of valid, user-defined Coordinator Events that will be included in the campaign. These are specifically events which apply with **EventCoordinators**, such completing distribution of a collection of interventions. Any event used in the campaign must be in this list. See [example](../json/config-output-configfile-custom-coordinator-events.json)."
Custom_Individual_Events,array of strings,NA,NA,[],"The list of valid, user-defined Individual Events that will be included in the campaign. These are specifically events which apply at an individual level, such as receiving a vaccine. Any individual event used in the campaign must either be one of the built-in events or in this list. See [Event list](parameter-campaign-event-list.md) for a list of all possible built-in events. See [example](../json/config-output-configfile-custom-individual-events.json)."
Custom_Node_Events,array of strings,NA,NA,[],"The list of valid, user-defined Node Events that will be included in the campaign. These are specifically events which apply at the node/location level, such as finishing using an **EnvironmentalDiagnostic**. Any event used in the campaign must be in this list. See [example](../json/config-output-configfile-custom-node-events.json)."
Custom_Reports_Filename,string,NA,NA,"""""",The name of the file containing custom report configuration parameters. Omitting this parameter or setting it to RunAllCustomReports will load all reporters found that are valid for the given simulation type. The file must be in JSON format.
Enable_Default_Reporting,boolean,0,1,1,Controls whether or not the default InsetChart.json report is created.
Enable_Demographics_Reporting,boolean,0,1,1,Controls whether or not demographic summary data and age-binned reports are outputted to file.
Enable_Property_Output,boolean,0,1,0,"Controls whether or not to create property output reports, which detail groups as defined in **IndividualProperties** in the demographics file (see [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters).  When there is more than one property type, the report will display the channel information for all combinations of the property type groups."
Enable_Spatial_Output,boolean,0,1,0,"Controls whether or not spatial output reports are created. If set to true (1), spatial output reports include all channels listed in the parameter **Spatial_Output_Channels**. <br>!!! note<br>    Spatial output files require significant processing time and disk space."
Enable_Vector_Species_Report,boolean,0,1,0,"When set to 1, creates the VectorSpeciesReport.json output file, which provides per-species vector population data by node and time step."
Event_Trigger_List,array of strings,NA,NA,NA,The list of event triggers for the events included in the report. See [example](../json/config-output-configfile-event-trigger-list.json).
Max_Number_Reports,float,1,1000000,1,Used by reports and custom reports. The maximum number of report output files that will be produced for a given simulation.
Pretty_Format,boolean,0,1,0,"True (1) sets pretty JSON formatting, which includes carriage returns, line feeds, and spaces for easier readability. The default, false (0), saves space where everything is on one line."
Report_Coordinator_Event_Recorder,boolean,0,1,0,"Enables or disables the ReportCoordinatorEventRecorder.csv output report for coordinator events. When enabled (set to 1) reports will be generated for the broadcasted valid coordinator events, as specified in **Report_Coordinator_Event_Recorder_Events**.<br>Note: This configuration parameter is currently in beta release and has not yet been fully tested."
Report_Coordinator_Event_Recorder_Events,array of strings,NA,NA,[],"The list of events to include or exclude in the ReportCoordinatorEventRecorder.csv output report, based on how **Report_Coordinator_Event_Recorder_Ignore_Events_In_List** is set. This list must not be empty and is dependent upon **Report_Coordinator_Event_Recorder** being enabled. In addition, the events must be defined in **Customer_Coordinator_Events**.<br>Note: This configuration parameter is currently in beta release and has not yet been fully tested. See [example](../json/config-output-configfile-report-coordinator-event-recorder-events.json)."
Report_Coordinator_Event_Recorder_Ignore_Events_In_List,boolean,0,1,0,"If set to false (0), only the events listed in the **Report_Coordinator_Event_Recorder_Events** array will be included in the ReportCoordinatorEventRecorder.csv output report. If set to true (1), only the events listed in the array will be excluded, and all other events will be included. If you want to return all events from the simulation, leave the events array empty.<br>Note: This configuration parameter is currently in beta release and has not yet been fully tested."
Report_Detection_Threshold_Blood_Smear_Gametocytes,float,0,50000,0,The minimum gametocyte density (gametocytes/microliter) an individual must have to be counted as positive by the BLOOD_SMEAR_GAMETOCYTES diagnostic. Affects all reports that track blood smear gametocyte positivity.
Report_Detection_Threshold_Blood_Smear_Parasites,float,0,50000,0,The minimum parasite density (parasites/microliter) an individual must have to be counted as positive by the BLOOD_SMEAR_PARASITES diagnostic. Affects all reports that track blood smear parasite positivity.
Report_Detection_Threshold_Fever,float,0.5,5,1,Level of body temperature above normal (degrees Celsius) at which an individual is considered to have detectable fever. Normal body temperature is defined as 37 degrees Celsius.
Report_Detection_Threshold_PCR_Gametocytes,float,0,50000,0.05,The minimum gametocyte density (gametocytes/microliter) an individual must have to be counted as positive by the PCR_GAMETOCYTES diagnostic. Affects all reports that track PCR gametocyte positivity.
Report_Detection_Threshold_PCR_Parasites,float,0,50000,0.05,The minimum parasite density (parasites/microliter) an individual must have to be counted as positive by the PCR_PARASITES diagnostic. Affects all reports that track PCR parasite positivity.
Report_Detection_Threshold_PfHRP2,float,0,50000,5,The minimum PfHRP2 protein level (picograms/microliter) an individual must have to be counted as positive by the PF_HRP2 diagnostic. Affects all reports that track PfHRP2 positivity.
Report_Detection_Threshold_True_Parasite_Density,float,0,50000,0,The minimum parasite density (parasites/microliter) an individual must have to be counted as positive by the TRUE_PARASITE_DENSITY diagnostic. Affects all reports that track true parasite density positivity.
Report_Event_Recorder,boolean,0,1,0,Set to 1 to generate the report.
Report_Event_Recorder_End_Day,float,0,3.40282e+38,3.40282e+38,The day of the simulation to stop collecting data.
Report_Event_Recorder_Events,array of strings,NA,NA,[],"The list of events to include or exclude in the ReportEventRecorder.csv output report, based on how **Report_Event_Recorder_Ignore_Events_In_List** is set. See [Event list](parameter-campaign-event-list.md) for a list of all possible built-in events. **Custom_Individual_Events** may also be included. Warning: If the list is empty and **Report_Event_Recorder_Ignore_Events_In_List** is set to 0, no events will be returned. See [example](../json/config-output-configfile-report-event-recorder-events.json)."
Report_Event_Recorder_Ignore_Events_In_List,boolean,0,1,0,"If set to false (0), only the events listed in **Report_Event_Recorder_Events** will be included in the output report. If set to true (1), only the events listed in **Report_Event_Recorder_Events** will be excluded, and all other events will be included. To return all events from the simulation, set this value to 1 and leave the the **Report_Event_Recorder_Events** array empty."
Report_Event_Recorder_Individual_Properties,array of strings,NA,NA,[],"An array of optional individual property (IP) keys to be added to the report. One column will be added for each IP Key listed, indicating the individual's value for that IP Key at the time of the event. See [Individual and node properties](model-properties.md) for details on setting individual properties. See [example](../json/config-output-configfile-report-event-recorder-individual-properties.json)."
Report_Event_Recorder_Max_Age_Years,float,0,9.3228e+35,9.3228e+35,Maximum age in years of people to collect data on.
Report_Event_Recorder_Min_Age_Years,float,0,9.3228e+35,0,Minimum age in years of people to collect data on.
Report_Event_Recorder_Must_Have_Intervention,string,NA,NA,"""""",The name of the intervention that the individual must have in order to be included in the report. Leave the string empty (default value) to not include interventions in the selection criteria. See [individual interventions](parameter-campaign-individual-interventions.md) for more information.
Report_Event_Recorder_Must_Have_IP_Key_Value,string,NA,NA,"""""",An individual property (IP) Key:Value pair that an individual must have in order to be included in the report. Leave the string empty (default value) to not include IPs in the selection criteria. See [Individual and node properties](model-properties.md) for more information.
