Parameter,Type,Min,Max,Default,Description,Example
Acquire_Config,json object,NA,NA,NA,The configuration for multi-effect vaccine acquisition. Specify how this effect decays over time using one of the [Waning effect classes](parameter-campaign-waningeffects.md).,[link](../json/campaign-multieffectboostervaccine-acquire-config.json)
Boost_Acquire,float,0,1,0,"Specifies the boosting effect on acquisition immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine. This does not replace current immunity, it builds multiplicatively on top of it.",[link](../json/campaign-multieffectboostervaccine-boost-acquire.json)
Boost_Mortality,float,0,1,0,"Specifies the boosting effect on mortality immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine. This does not replace current immunity, it builds multiplicatively on top of it.",[link](../json/campaign-multieffectboostervaccine-boost-mortality.json)
Boost_Threshold_Acquire,float,0,1,0,Specifies how much acquisition immunity is required before the vaccine changes from a prime to a boost.,[link](../json/campaign-multieffectboostervaccine-boost-threshold-acquire.json)
Boost_Threshold_Mortality,float,0,1,0,Specifies how much mortality immunity is required before the vaccine changes from a prime to a boost.,[link](../json/campaign-multieffectboostervaccine-boost-threshold-mortality.json)
Boost_Threshold_Transmit,float,0,1,0,Specifies how much transmission immunity is required before the vaccine changes from a prime to a boost.,[link](../json/campaign-multieffectboostervaccine-boost-threshold-transmit.json)
Boost_Transmit,float,0,1,0,"Specifies the boosting effect on transmission immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine. This does not replace current immunity, it builds multiplicatively on top of it.",[link](../json/campaign-multieffectboostervaccine-boost-transmit.json)
Cost_To_Consumer,float,0,999999,10,The unit cost per vaccine (unamortized).,[link](../json/campaign-multieffectboostervaccine-cost-to-consumer.json)
Disqualifying_Properties,array of strings,NA,NA,[],"A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time.",[link](../json/campaign-multieffectboostervaccine-disqualifying-properties.json)
Dont_Allow_Duplicates,boolean,0,1,0,"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes.",[link](../json/campaign-multieffectboostervaccine-dont-allow-duplicates.json)
Intervention_Name,string,NA,NA,MultiEffectBoosterVaccine,The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.,[link](../json/campaign-multieffectboostervaccine-intervention-name.json)
Mortality_Config,json object,NA,NA,NA,The configuration for multi-effect vaccine mortality. Specify how this effect decays over time using one of the [Waning effect classes](parameter-campaign-waningeffects.md).,[link](../json/campaign-multieffectboostervaccine-mortality-config.json)
New_Property_Value,string,NA,NA,"""""","An optional **IndividualProperty** key:value pair that will be assigned when the intervention is applied. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one. ",[link](../json/campaign-multieffectboostervaccine-new-property-value.json)
Prime_Acquire,float,0,1,0,Specifies the priming effect on acquisition immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine.,[link](../json/campaign-multieffectboostervaccine-prime-acquire.json)
Prime_Mortality,float,0,1,0,Specifies the priming effect on mortality immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine.,[link](../json/campaign-multieffectboostervaccine-prime-mortality.json)
Prime_Transmit,float,0,1,0,Specifies the priming effect on transmission immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine.,[link](../json/campaign-multieffectboostervaccine-prime-transmit.json)
Transmit_Config,json object,NA,NA,NA,The configuration for multi-effect vaccine transmission. Specify how this effect decays over time using one of the [Waning effect classes](parameter-campaign-waningeffects.md).,[link](../json/campaign-multieffectboostervaccine-transmit-config.json)
Vaccine_Take,float,0,1,1,"The rate at which delivered vaccines will successfully stimulate an immune response and achieve the desired efficacy. For example, if it is set to 0.9, there will be a 90 percent chance that the vaccine will start with the specified efficacy, and a 10 percent chance that it will have no efficacy at all.",[link](../json/campaign-multieffectboostervaccine-vaccine-take.json)
