Parameter,Type,Min,Max,Default,Description,Example
"﻿""Enable_Aging""",boolean,0,1,1,Controls whether or not individuals in a population age during the simulation. **Enable_Vital_Dynamics** must be set to true (1). ,[link](../json/config-enable-malaria-enable-aging.json)
Enable_Air_Migration,boolean,0,1,0,Controls whether or not migration by air travel will occur. **Migration_Model** must be set to FIXED_RATE_MIGRATION.,[link](../json/config-enable-malaria-enable-air-migration.json)
Enable_Birth,boolean,0,1,1,"Controls whether or not individuals will be added to the simulation by birth. **Enable_Vital_Dynamics** must be set to true (1). If you want new individuals to have the same intervention coverage as existing individuals, you must add a **BirthTriggeredIV** to the campaign file. ",[link](../json/config-enable-malaria-enable-birth.json)
Enable_Climate_Stochasticity,boolean,0,1,0,"Controls whether or not the climate has stochasticity. **Climate_Model** must be set to CLIMATE_CONSTANT or CLIMATE_BY_DATA. Set the variance using the parameters **Air_Temperature_Variance**,  **Land_Temperature_Variance**, **Enable_Rainfall_Stochasticity**, and **Relative_Humidity_Variance**. ",[link](../json/config-enable-malaria-enable-climate-stochasticity.json)
Enable_Default_Reporting,boolean,0,1,1,Controls whether or not the default InsetChart.json report is created.,[link](../json/config-enable-malaria-enable-default-reporting.json)
Enable_Demographics_Builtin,boolean,0,1,0,Controls whether or not built-in demographics for default geography will be used. Note that the built-in demographics feature does not represent a real geographical location and is mostly used for testing. Set to true (1) to define the initial population and number of nodes using **Default_Geography_Initial_Node_Population** and **Default_Geography_Torus_Size**. Set to false (0) to use demographics input files defined in **Demographics_Filenames**.,[link](../json/config-enable-malaria-enable-demographics-builtin.json)
Enable_Demographics_Reporting,boolean,0,1,1,Controls whether or not demographic summary data and age-binned reports are outputted to file.,[link](../json/config-enable-malaria-enable-demographics-reporting.json)
Enable_Demographics_Risk,boolean,0,1,0,Controls whether or not the simulation includes the impact of disease risk in demographics.,[link](../json/config-enable-malaria-enable-demographics-risk.json)
Enable_Disease_Mortality,boolean,0,1,1,Controls whether or not individuals are removed from the simulation due to disease deaths.,[link](../json/config-enable-malaria-enable-disease-mortality.json)
Enable_Egg_Mortality,boolean,0,1,0,"Controls whether or not to include a daily mortality rate on the egg population, which is independent of climatic factors. ",[link](../json/config-enable-malaria-enable-egg-mortality.json)
Enable_Family_Migration,boolean,0,1,0,Controls whether or not all members of a household can migrate together when a MigrateFamily event occurs. All residents must be home before they can leave on the trip. **Migration_Model** must be set to FIXED_RATE_MIGRATION.,[link](../json/config-enable-malaria-enable-family-migration.json)
Enable_Heterogeneous_Intranode_Transmission,boolean,0,1,0,"Controls whether or not individuals experience heterogeneous disease transmission within a node. When set to true (1), individual property definitions and the $\\beta$ matrix must be specified in the demographics file (see [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters). The $\\beta$ values are multiplied with the $\\beta_{0}$ value configured by **Base_Infectivity**.
This is used only in generic, environmental, and typhoid simulations, but must be set to false (0) for all other simulation types. Heterogeneous transmission for other diseases uses other mechanistic parameters included with the simulation type.",[link](../json/config-enable-malaria-enable-heterogeneous-intranode-transmission.json)
