Parameter,Type,Min,Max,Default,Description,Example
Blocking_Config,json object,NA,NA,NA,Defines a waning effect that determines the probability that a host-seeking vector is blocked from reaching a human host. Blocked vectors are then elligble to be killed according to the **Killing_Config** parameter. Specify how this effect decays over time using one of the [Waning effect classes](parameter-campaign-waningeffects.md).,[link](../json/campaign-simplebednet-blocking-config.json)
Cost_To_Consumer,float,0,999999,3.75,The unit cost per bednet (unamortized),[link](../json/campaign-simplebednet-cost-to-consumer.json)
Disqualifying_Properties,array of strings,NA,NA,[],"A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time.",[link](../json/campaign-simplebednet-disqualifying-properties.json)
Dont_Allow_Duplicates,boolean,0,1,0,"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes.",[link](../json/campaign-simplebednet-dont-allow-duplicates.json)
Insecticide_Name,string,NA,NA,UNINITIALIZED STRING,"The name of the insecticide defined in the configuration parameter **Insecticides**  for this intervention.  If insecticides are being used,  this must be defined as one of those values; if they are not being used this can be empty.  It cannot have a value if you did not configure the configuration parameter **Insecticides**.",[link](../json/campaign-simplebednet-insecticide-name.json)
Intervention_Name,string,NA,NA,SimpleBednet,The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.,[link](../json/campaign-simplebednet-intervention-name.json)
Killing_Config,json object,NA,NA,NA,Defines a waning effect that determines the probability that a blocked vector is killed due to the intervention. Killing is conditional on being blocked: only blocked vectors are able to be killed.  Specify how this effect decays over time using one of the [Waning effect classes](parameter-campaign-waningeffects.md).,[link](../json/campaign-simplebednet-killing-config.json)
New_Property_Value,string,NA,NA,"""""","An optional **IndividualProperty** key:value pair that will be assigned when the intervention is applied. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one. ",[link](../json/campaign-simplebednet-new-property-value.json)
Repelling_Config,json object,NA,NA,NA,Defines a waning effect that determines the probability that a vector is repelled due to the intervention. Specify how this effect decays over time using one of the [Waning effect classes](parameter-campaign-waningeffects.md).,[link](../json/campaign-simplebednet-repelling-config.json)
Usage_Config,json object,NA,NA,NA,The user-defined **WaningEffects** to determine when and if an individual is using a bed net. Specify how this effect decays over time using one of the [Waning effect classes](parameter-campaign-waningeffects.md).,[link](../json/campaign-simplebednet-usage-config.json)
