Parameter,Type,Min,Max,Default,Description,Example
End_Year,float,1900,2200,2200,The final date (year) at which this set of targeted coverages should be applied (expiration).,[link](../json/campaign-referencetrackingeventcoordinator-end-year.json)
Intervention_Config,json object,NA,NA,NA,The nested JSON of the actual intervention to be distributed by this event coordinator.,[link](../json/campaign-referencetrackingeventcoordinator-intervention-config.json)
Node_Property_Restrictions,array of json objects,NA,NA,NA,"A list of the **NodeProperty** key:value pairs, as defined in the demographics file, that nodes must have to be targeted by the intervention. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.<br>You can specify AND and OR combinations of key:value pairs with this parameter.",[link](../json/campaign-referencetrackingeventcoordinator-node-property-restrictions.json)
Property_Restrictions,array of json objects,NA,NA,NA,"A list of the **IndividualProperty** key:value pairs, as defined in the demographics file, that individuals must have to be targeted by this intervention. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.<br>To specify AND and OR combinations of key:value pairs, use **Property_Restrictions_Within_Node**. You cannot use both of these parameters in the same event coordinator.",[link](../json/campaign-referencetrackingeventcoordinator-property-restrictions.json)
Property_Restrictions_Within_Node,array of json objects,NA,NA,NA,"A list of the **IndividualProperty** key:value pairs, as defined in the demographics file, that individuals must have to be targeted by this intervention. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.<br>This parameter allows you to specify AND and OR combinations of key:value pairs. You may specify individual property restrictions using either this parameter or **Property_Restrictions**, but not both. ",[link](../json/campaign-referencetrackingeventcoordinator-property-restrictions-within-node.json)
Target_Age_Max,float,0,9.3228e+35,9.3228e+35,"The upper end of ages targeted for an intervention, in years.",[link](../json/campaign-referencetrackingeventcoordinator-target-age-max.json)
Target_Age_Min,float,-3,9.3228e+35,0,"The lower end of ages targeted for an intervention, in years. Used when **Target_Demographic** is set to ExplicitAgeRanges or ExplicitAgeRangesAndGender.",[link](../json/campaign-referencetrackingeventcoordinator-target-age-min.json)
Target_Demographic,enum,NA,NA,Everyone,The target demographic group. Possible values are:<br>* Everyone<br>* ExplicitAgeRanges<br>* ExplicitAgeRangesAndGender<br>* ExplicitGender<br>* ExplicitDiseaseState,[link](../json/campaign-referencetrackingeventcoordinator-target-demographic.json)
Target_Gender,enum,NA,NA,All,Specifies the gender restriction for the intervention. Possible values are:<br>* Male<br>* Female<br>* All,[link](../json/campaign-referencetrackingeventcoordinator-target-gender.json)
Target_Residents_Only,boolean,0,1,0,"When set to true (1), the intervention is only distributed to individuals that began the simulation in the node (i.e. those that claim the node as their residence).",[link](../json/campaign-referencetrackingeventcoordinator-target-residents-only.json)
Targeting_Config,json object,NA,NA,NA,Be more selective of individuals by using the [Targeting_Config classes](parameter-campaign-targeting-config.md).,[link](../json/campaign-referencetrackingeventcoordinator-targeting-config.json)
Time_Value_Map,json object,NA,NA,NA,"The years (times) and matching values of coverages. It is a dictionary of arrays, one of **Times** and one for **Values**, which allows for a time-variable probability that can take on any shape over time. The **Times** must be monotonically increasing. The model uses linear interpolation for times not explicitly defined; times beyond the maximum retain the last value.",[link](../json/campaign-referencetrackingeventcoordinator-time-value-map.json)
Update_Period,float,1,3650,365,The time between distribution updates.,[link](../json/campaign-referencetrackingeventcoordinator-update-period.json)
